1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,y
-134.5099,183.201,-47.574226,27.138245,7.9266467,-5.0961394,25.311367,11.954566,-9.615977,22.059225,-0.33015603,4.9888024,11.75863,0.74249953,-0.406227,10.709862,0.53186107,5.9713926,5.152925,-2.3584342,2.0326746,1.7584398,-2.3397968,5.7417107,1.3036785,-0.57163185,4.720847,1.8268082,-0.19190371,2.471432,-2.8189692,0.9300373,1.7585803,0.17940246,0.131392,2.6199703,-0.7854134,2.5872886,-0.32342303,0.10665781,1
-66.763596,135.16782,13.187893,22.915363,15.745045,6.8977265,6.3689556,21.848967,-0.84928775,3.537406,-1.9464532,5.089025,6.67579,0.6578508,-2.224334,6.316416,4.8529615,-0.973531,-0.62869143,2.7854505,-3.1860797,1.7848581,-2.1379578,3.2930825,1.9992424,0.16091225,1.0856205,1.5016545,-5.974007,-0.9806161,-3.1212194,0.63302624,-3.0079827,1.0845854,-0.43220124,2.5942667,-0.41674775,2.4924335,-2.959553,0.70890695,1
-315.1219,20.120916,-91.01848,43.981133,-31.039873,63.896935,3.4747298,1.253076,-31.645771,-15.100976,27.00021,10.358259,-10.31023,-23.28976,18.815046,-2.1035705,7.9604907,14.376735,-14.773549,-20.282179,21.29158,3.2912674,-15.027307,6.396572,-18.72478,6.692487,0.15541886,-0.46763644,5.2173567,-14.97898,7.7199726,11.591164,-4.2692323,-4.8673797,0.57394093,-4.014346,-1.1617408,3.907892,-4.646606,-10.472264,1
-36.884045,119.72803,-49.50924,25.991194,-39.14756,34.328697,-31.293837,9.705416,-33.424427,20.054539,-24.58405,11.690256,-13.93366,5.2547607,-10.63901,4.909383,-10.314846,4.310945,-5.5189767,-2.5042183,-0.52533346,-5.9336963,3.152066,-7.652112,4.572706,-8.067862,5.344655,-8.3745575,3.3286552,-7.608119,3.1155312,-5.7171736,2.1308827,-3.8228047,0.4530204,-4.062402,-1.1191156,-0.96171373,-3.3487813,-1.1085476,1
-169.59619,160.06847,12.084118,15.877432,12.375929,10.9360895,7.4600964,13.978524,11.356172,2.9774337,5.3711333,7.725435,8.762231,4.7758455,-2.1574938,9.17787,5.0885057,1.1788027,2.1510522,5.870789,-1.0501835,3.0358562,3.615677,2.6664147,-0.39426106,3.6185112,-0.26557127,3.5576947,2.1183252,1.7316575,-0.5660696,3.4935741,-2.4422226,0.6358197,-1.8633136,0.5639593,-0.40352106,3.4611306,-1.0117116,3.104819,1
-374.88705,28.04789,-70.55879,41.27124,2.7081218,39.042973,-17.261255,-16.982838,11.917639,17.861704,-6.6107683,-16.085005,15.69366,-4.2940483,-2.7817101,0.6692989,-4.3138704,10.164439,7.2427554,-17.108551,5.3139334,6.2528157,-7.9330716,-0.47571525,-6.3270955,4.6371484,-3.1043434,-3.4636214,-9.080779,-1.2407345,6.3804584,-12.672282,-1.8127381,-0.41186807,-3.0298293,-0.24369016,-5.454004,-4.5438952,4.1293926,-2.199062,1
-234.66275,43.104687,-137.36955,-0.6158216,-30.29014,59.57931,-6.825073,10.324998,11.67643,-3.7488356,-7.4274006,-3.3052862,8.030685,-10.791482,8.345791,-0.5864758,10.877052,-7.280167,-4.0147433,3.952788,-3.3828683,-2.1852949,-6.621539,-1.3913689,-4.6106954,2.8964217,-3.9328587,0.9992753,-5.695442,-4.062913,2.0361698,-4.2504873,-2.2325032,-4.5206394,-2.607954,-5.109716,0.84148854,-1.6840075,0.63061875,-3.542195,1
-235.00375,108.90668,-58.61602,13.897294,-13.021856,13.45119,-4.323635,1.6292329,-9.941896,-1.3117934,-2.9918354,-9.182737,5.743491,0.64933443,9.475675,-9.110889,-1.9988912,-3.878233,-1.0579882,2.699542,-7.3091006,-2.3214097,-6.627201,2.1199768,-1.5338768,0.7800529,1.5710021,-0.3778153,0.8927192,-5.35154,-0.98305285,-1.0949106,-0.026038412,-2.5232646,-3.3000607,-0.50550085,0.16449009,4.14922,3.432001,-0.46514806,1
-43.942997,139.31851,-3.5036004,14.170457,-6.364725,12.985729,-0.56677264,9.5528555,3.2745597,6.8976016,2.7362804,1.2138119,-2.0316544,10.815022,2.205091,1.4747897,2.624404,4.7032323,0.26579127,5.6161923,-1.9728345,1.6030532,-1.1250737,0.705314,-2.576845,3.9027946,-0.8428668,0.55023724,-3.2043753,1.1619284,-3.1705842,-0.25046414,-2.154794,1.962104,-2.0883396,0.78828704,-0.8554959,0.89072514,-1.6117676,0.7814461,1
-375.27252,24.070036,-96.11863,4.747441,-24.834732,50.902233,10.317093,-0.7171092,-23.778688,-9.33046,29.536894,8.796759,-8.77626,-19.99672,14.696497,3.9632864,9.564531,12.578897,-17.646597,-16.846449,15.600039,10.665979,-11.767503,2.410677,-15.7684145,3.463968,6.1992106,-4.140521,2.4806364,-19.812809,7.9132648,10.764673,-7.8617134,-3.905141,-2.9569676,-1.4712256,-3.7081273,9.199565,-2.289456,-11.558147,1
